Награда|Дата церемонии|Категория|Номинант|Результат
Американское общество специалистов по кастингу[22]|30 января 2020|С большим бюджетом — комедия|Франсин Мейслер|Номинация
«Выбор критиков»[23]|12 января 2020|Лучший фильм|Неогранённые драгоценности|Номинация
«Выбор критиков»[23]|12 января 2020|Лучший режиссёр|Бенни и Джош Сафди|Номинация
«Выбор критиков»[23]|12 января 2020|Лучшая мужская роль|Адам Сэндлер|Номинация
«Выбор критиков»[23]|12 января 2020|Лучший монтаж|Рональд Бронштейн (англ.)русск. и Бенни Сафди|Номинация
Общество кинокритиков Детройта[24]|9 декабря 2019|Лучшая мужская роль|Адам Сэндлер|Номинация
Общество кинокритиков Детройта[24]|9 декабря 2019|Лучшее использование музыки|Неогранённые драгоценности|Номинация
«Золотая малина»[25]|16 марта 2020|Восстановление репутации|Адам Сэндлер|Номинация
«Готэм»[26]|2 декабря 2019|Лучший фильм|Неогранённые драгоценности|Номинация
«Готэм»[26]|2 декабря 2019|Лучшая мужская роль|Адам Сэндлер|Номинация
«Готэм»[26]|2 декабря 2019|Актёрский прорыв|Джулия Фокс|Номинация
«Независимый дух»[27]|8 февраля 2020|Лучший фильм|Неогранённые драгоценности|Номинация
«Независимый дух»[27]|8 февраля 2020|Лучший режиссёр|Бенни и Джош Сафди|Победа
«Независимый дух»[27]|8 февраля 2020|Лучшая мужская роль|Адам Сэндлер|Победа
«Независимый дух»[27]|8 февраля 2020|Лучший сценарий|Рональд Бронштейн, Бенни и Джош Сафди|Номинация
«Независимый дух»[27]|8 февраля 2020|Лучший монтаж|Рональд Бронштейн и Бенни Сафди|Победа
Ассоциация кинокритиков Лос-Анджелеса[28]|8 декабря 2019|Лучший монтаж|Рональд Бронштейн и Бенни Сафди|Номинация
Национальный совет кинокритиков США[29]|8 января 2020|Лучшая мужская роль|Адам Сэндлер|Победа
Национальный совет кинокритиков США[29]|8 января 2020|Лучший оригинальный сценарий|Рональд Бронштейн, Бенни и Джош Сафди|Победа
Национальный совет кинокритиков США[29]|8 января 2020|Топ 10 лучших фильмов года|Неогранённые драгоценности|Победа
Сообщество кинокритиков Нью-Йорка[30]|7 января 2020|Лучший режиссёр|Бенни и Джош Сафди|Победа
Сообщество кинокритиков Оклахомы[31]|15 декабря 2019|Лучшая мужская роль|Адам Сэндлер|Победа
Сообщество кинокритиков Оклахомы[31]|15 декабря 2019|Лучший саундтрек|Дэниел Лопатин|Победа
Общество кинокритиков Сан-Диего[32]|9 декабря 2019|Лучшая мужская роль|Адам Сэндлер|Номинация
Общество кинокритиков Сан-Диего[32]|9 декабря 2019|Лучший режиссёр|Бенни и Джош Сафди|Победа
Общество кинокритиков Сан-Диего[32]|9 декабря 2019|Лучший оригинальный сценарий|Бенни и Джош Сафди|Номинация
Общество кинокритиков Сан-Диего[32]|9 декабря 2019|Лучший монтаж|Рональд Бронштейн и Бенни Сафди|Номинация
«Спутник»[33]|19 декабря 2019|Лучший фильм — комедия или мюзикл|Неогранённые драгоценности|Номинация
«Спутник»[33]|19 декабря 2019|Лучшая мужская роль|Адам Сэндлер|Номинация
Ассоциация кинокритиков Сент-Луиса[34]|15 декабря 2019|Лучшая мужская роль|Адам Сэндлер|Победа
